,mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension
mean radius,1.0,0.32378189092773296,0.9978552814938096,0.9873571700566122,0.17058118749299478,0.5061235775263642,0.6767635503908116,0.8225285223871794,0.14774124199260236,-0.3116308263092902,0.6790903880020756,-0.09731744314481333,0.6741716157641056,0.735863663212817,-0.22260012458211142,0.20599998040769932,0.19420362276150901,0.3761689559399259,-0.10432088141786558,-0.04264126911445619,0.9695389726112066,0.2970076439863737,0.9651365139559874,0.9410824595860466,0.11961613992160836,0.4134628230608015,0.5269114618385451,0.7442141978674656,0.1639533349363073,0.007065885692182571
mean texture,0.32378189092773296,1.0,0.3295330586865705,0.3210856960802075,-0.02338851599842351,0.23670222207437228,0.3024178279438915,0.29346405131394243,0.071400980483317,-0.07643718344813387,0.27586867617376243,0.3863576227244904,0.28167311478720264,0.25984498661009875,0.006613777353585329,0.19197461132396645,0.14329307656049847,0.1638510252852181,0.00912716775503605,0.05445751956893367,0.3525729471502956,0.9120445888404213,0.35803957505322426,0.3435459471864696,0.07750335882212882,0.27782959247897965,0.3010252238164913,0.29531584333773675,0.10500791031597209,0.11920535139708555
mean perimeter,0.9978552814938096,0.3295330586865705,1.0,0.9865068039913902,0.20727816369100643,0.5569362108795616,0.716135650117405,0.850977041252819,0.18302721211685294,-0.2614769080663336,0.691765013533482,-0.0867610783117948,0.6931348895408656,0.7449826941190679,-0.20269402629832206,0.2507436807405879,0.22808234539365804,0.40721691599861876,-0.08162932702839953,-0.005523391057003951,0.9694763634663136,0.3030383715571501,0.9703868870426389,0.9415498080023066,0.1505494043170369,0.45577422803832673,0.5638792634736615,0.7712407893605484,0.1891150404624575,0.051018529723406675
mean area,0.9873571700566122,0.3210856960802075,0.9865068039913902,1.0,0.1770283772540011,0.49850168215241225,0.6859828285519107,0.8232688686524328,0.15129307903511213,-0.2831098116914264,0.7325622269972987,-0.0662802136045774,0.7266283277906844,0.8000859212343219,-0.1667766666011127,0.21258255077923285,0.2076600604825693,0.3723202823307099,-0.07249658821176272,-0.01988696323506802,0.9627460860470832,0.2874886271213966,0.9591195743552647,0.9592133256499005,0.12352293875557097,0.3904103092424984,0.5126059204433244,0.7220166262603591,0.14356991388907125,0.0037375973515715723
mean smoothness,0.17058118749299478,-0.02338851599842351,0.20727816369100643,0.1770283772540011,1.0,0.6591232152159231,0.5219837677142604,0.5536951727437603,0.5577747880728872,0.5847920019499775,0.30146709825316953,0.06840644817118241,0.29609193289351415,0.24655243166573562,0.3323754426475924,0.31894329670537896,0.2483956798825553,0.3806756909832856,0.20077437592048325,0.28360669854688497,0.21312014189594852,0.03607179878564646,0.23885262620915038,0.20671836342857658,0.8053241954943621,0.4724684437304434,0.4349257147250867,0.5030533532989496,0.3943094818117554,0.4993163685937661
mean compactness,0.5061235775263642,0.23670222207437228,0.5569362108795616,0.49850168215241225,0.6591232152159231,1.0,0.8831206701772505,0.8311350431336991,0.6026410484055159,0.565368663414521,0.4974734460850617,0.04620483071640682,0.5489052645888232,0.4556528519878888,0.1352992677004715,0.7387217896603927,0.5705168714898885,0.6422618509716466,0.22997659080143243,0.5073181269004226,0.5353153982176652,0.2481328332774176,0.5902104277312977,0.5096038055579203,0.5655411663750876,0.8658090398022631,0.8162752498000299,0.8155732235690637,0.510223429921806,0.6873823227538965
mean concavity,0.6767635503908116,0.3024178279438915,0.716135650117405,0.6859828285519107,0.5219837677142604,0.8831206701772505,1.0,0.9213910263788581,0.5006666171419619,0.33678335942118526,0.631924822141491,0.07621834813534002,0.6603907872419624,0.6174268058452411,0.09856374579911736,0.6702788246430207,0.6912702075448516,0.6832599165123271,0.17800920792087768,0.4493007490503385,0.688236407643672,0.2998788887096905,0.7295649165132028,0.6759872313060887,0.4488220384047602,0.7549680159063963,0.8841026390943829,0.8613230336379508,0.4094641265399866,0.5149298906363865
mean concave points,0.8225285223871794,0.29346405131394243,0.850977041252819,0.8232688686524328,0.5536951727437603,0.8311350431336991,0.9213910263788581,1.0,0.46249738836735815,0.16691738322699223,0.6980498335607402,0.021479581923401627,0.7106498716138991,0.6902985397595531,0.02765330838713621,0.4904242495935711,0.4391670684742612,0.6156341308969195,0.0953507868866769,0.2575837462430327,0.8303176311186148,0.2927517130015177,0.8559231281343109,0.8096296199096181,0.45275305417904715,0.6674536768257118,0.752399497574964,0.9101553142985929,0.37574414542361045,0.36866113371677084
mean symmetry,0.14774124199260236,0.071400980483317,0.18302721211685294,0.15129307903511213,0.5577747880728872,0.6026410484055159,0.5006666171419619,0.46249738836735815,1.0,0.47992133005096915,0.30337926320726255,0.128052926340256,0.31389276079651357,0.22397021941762993,0.18732116526139062,0.4216591470050107,0.34262702307772047,0.39329787208901673,0.4491365423934285,0.3317861462731245,0.18572775349568735,0.0906506881166427,0.21916855911105806,0.17719337737409702,0.42667502638494614,0.47320001324461824,0.4337210075901729,0.4302966114579541,0.6998257976437305,0.4384134984446028
mean fractal dimension,-0.3116308263092902,-0.07643718344813387,-0.2614769080663336,-0.2831098116914264,0.5847920019499775,0.565368663414521,0.33678335942118526,0.16691738322699223,0.47992133005096915,1.0,0.00011099507262942192,0.16417396587172925,0.03982993157204708,-0.09017024752042738,0.4019644254484123,0.5598366906211326,0.44663032169957073,0.3411980443971178,0.3450073971437277,0.6881315774585515,-0.25369149487660947,-0.05126920203676512,-0.20515121126277364,-0.23185445116756076,0.5049420753517614,0.4587981566678596,0.3462338763480679,0.17532544924324459,0.3340186838510827,0.7672967792384358
