Dataset,Model,Features,Accuracy,Precision,Recall,F1 Score,Training Time
Original,Logistic Regression,30,0.956140350877193,0.9459459459459459,0.9859154929577465,0.9655172413793104,0.3467543125152588
Original,Random Forest,30,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222,0.15353655815124512
Original,SVM,30,0.9473684210526315,0.922077922077922,1.0,0.9594594594594594,0.009628534317016602
Original,KNN,30,0.956140350877193,0.9342105263157895,1.0,0.9659863945578231,0.0
Greedy,Logistic Regression,7,0.9912280701754386,0.9861111111111112,1.0,0.993006993006993,0.0
Greedy,Random Forest,7,0.9824561403508771,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.12223243713378906
Greedy,SVM,7,0.9736842105263158,0.9722222222222222,0.9859154929577465,0.9790209790209791,0.0
Greedy,KNN,7,0.9736842105263158,0.9857142857142858,0.971830985915493,0.9787234042553191,0.0
Backtracking,Logistic Regression,7,0.9824561403508771,0.9726027397260274,1.0,0.9861111111111112,0.0022118091583251953
Backtracking,Random Forest,7,0.9649122807017544,0.971830985915493,0.971830985915493,0.971830985915493,0.1313769817352295
Backtracking,SVM,7,0.9649122807017544,0.971830985915493,0.971830985915493,0.971830985915493,0.003176450729370117
Backtracking,KNN,7,0.9736842105263158,0.9722222222222222,0.9859154929577465,0.9790209790209791,0.0
